 "x" , "p" , "o" ,
 多尔顿 , "http://kg.course/talkop-vivre-card/2年前" , 挑战归来的瓦波尔一伙，战败 ,
 多尔顿 , "http://kg.course/talkop-vivre-card/？年前" , 就任磁鼓王国守备队队长 ,
 多尔顿 , "http://kg.course/talkop-vivre-card/8年前" , 同去参加“世界会议”，遇到了薇薇 ,
 "Dr.古蕾娃" , "http://kg.course/talkop-vivre-card/0年前" , 和多尔顿同行去了“世界会议” ,
 "Dr.古蕾娃" , "http://kg.course/talkop-vivre-card/2年前" , 目送乔巴出海 ,
 "Dr.古蕾娃" , "http://kg.course/talkop-vivre-card/7年前" , 收下乔巴为弟子 ,
 杰斯 , "http://kg.course/talkop-vivre-card/2年前" , 因为黑胡子海贼团的袭击，逃亡海外 ,
 杰斯 , "http://kg.course/talkop-vivre-card/2年前" , 在磁鼓岛之战败于“草帽一伙” ,
 杰斯 , "http://kg.course/talkop-vivre-card/2年前" , 靠“吞吞工厂”与克罗马利蒙合体 ,
 杰斯 , "http://kg.course/talkop-vivre-card/？年前" , "成立医生20，同时狩猎医生" ,
 克罗马利蒙 , "http://kg.course/talkop-vivre-card/2年前" , 因为黑胡子海贼团的袭击，逃亡海外 ,
 克罗马利蒙 , "http://kg.course/talkop-vivre-card/2年前" , 在磁鼓岛之战败于“草帽一伙” ,
 克罗马利蒙 , "http://kg.course/talkop-vivre-card/2年前" , 靠“吞吞工厂”与杰斯合体 ,
 克罗马利蒙 , "http://kg.course/talkop-vivre-card/？年前" , "成立医生20，同时狩猎医生" ,
 "Dr.西尔尔克" , "http://kg.course/talkop-vivre-card/？年前" , 在某座山见到樱花后，克服了病症 ,
 "Dr.西尔尔克" , "http://kg.course/talkop-vivre-card/？年前" , 在西边的国家做小偷 ,
 "Dr.西尔尔克" , "http://kg.course/talkop-vivre-card/？年前" , 移居旧磁鼓王国 ,
 "Dr.西尔尔克" , "http://kg.course/talkop-vivre-card/？年前" , 身患“不治之症” ,
 "Dr.西尔尔克" , "http://kg.course/talkop-vivre-card/7年前" , "完成了30年来的研究" ,
 "Dr.西尔尔克" , "http://kg.course/talkop-vivre-card/7年前" , 生命终结 ,
 "Dr.西尔尔克" , "http://kg.course/talkop-vivre-card/8年前" , 与乔巴相遇 ,
 奈菲鲁塔莉•寇布拉 , "http://kg.course/talkop-vivre-card/0年前" , 出席“世界会议” ,
 奈菲鲁塔莉•寇布拉 , "http://kg.course/talkop-vivre-card/2年前" , 克罗克达尔败战后开始复兴国家 ,
 奈菲鲁塔莉•寇布拉 , "http://kg.course/talkop-vivre-card/？年前" , 即位阿拉巴斯坦王国国王 ,
 奈菲鲁塔莉•寇布拉 , "http://kg.course/talkop-vivre-card/？年前" , 妻子蒂蒂亡故 ,
 奈菲鲁塔莉•寇布拉 , "http://kg.course/talkop-vivre-card/8年前" , 带着年幼的薇薇出席“世界会议” ,
 奈菲鲁塔莉•寇布拉 , "http://kg.course/talkop-vivre-card/1年前" , 身染疾病 ,
 "本萨姆（Mr.2·冯·克雷）" , "http://kg.course/talkop-vivre-card/2年前" , 为了拯救路飞等人，向麦哲伦挑战败北 ,
 "本萨姆（Mr.2·冯·克雷）" , "http://kg.course/talkop-vivre-card/2年前" , 做梅里号的诱饵，与缇娜的“黑槛部队”交战 ,
 "本萨姆（Mr.2·冯·克雷）" , "http://kg.course/talkop-vivre-card/2年前" , 在休假岛再次与缇娜战斗被捕 ,
 "本萨姆（Mr.2·冯·克雷）" , "http://kg.course/talkop-vivre-card/2年前" , 在推进城和人妖王伊万科夫相遇 ,
 "本萨姆（Mr.2·冯·克雷）" , "http://kg.course/talkop-vivre-card/2年前" , 巴洛克工作室解散，谋划逃跑 ,
 "本萨姆（Mr.2·冯·克雷）" , "http://kg.course/talkop-vivre-card/？年前" , 成为巴洛克工作室高级特务 ,
 "本萨姆（Mr.2·冯·克雷）" , "http://kg.course/talkop-vivre-card/？年前" , 成为新人妖乐园的新女王 ,
 克洛克达尔 , "http://kg.course/talkop-vivre-card/2年前" , 从推进城越狱，参加顶上战争 ,
 克洛克达尔 , "http://kg.course/talkop-vivre-card/2年前" , 巴洛克工作室解散，被剥除“王下七武海”名号 ,
 克洛克达尔 , "http://kg.course/talkop-vivre-card/？年前" , 就任“王下七武海” ,
 克洛克达尔 , "http://kg.course/talkop-vivre-card/？年前" , 成立巴洛克工作社 ,
 克洛克达尔 , "http://kg.course/talkop-vivre-card/？年前" , 败给白胡子 ,
 克洛克达尔 , "http://kg.course/talkop-vivre-card/6年前" , 和罗宾联手，目标为“冥王” ,
 克洛克达尔 , "http://kg.course/talkop-vivre-card/24年前" , "观看哥尔·D·罗杰的处刑" ,
 "波特卡斯•D•艾斯" , "http://kg.course/talkop-vivre-card/2年前" , 在顶上战争战死 ,
 "波特卡斯•D•艾斯" , "http://kg.course/talkop-vivre-card/？年前" , "加入白胡子海贼团，之后成为2番队队长" ,
 "波特卡斯•D•艾斯" , "http://kg.course/talkop-vivre-card/？年前" , 寄养到科尔博山的达旦一家 ,
 "波特卡斯•D•艾斯" , "http://kg.course/talkop-vivre-card/？年前" , 开始追踪蒂奇 ,
 "波特卡斯•D•艾斯" , "http://kg.course/talkop-vivre-card/？年前" , 成立黑桃海贼团 ,
 "波特卡斯•D•艾斯" , "http://kg.course/talkop-vivre-card/？年前" , 败于白胡子海贼团 ,
 "波特卡斯•D•艾斯" , "http://kg.course/talkop-vivre-card/22年前" , 作为罗杰和露玖的孩子而出生 ,
 "波特卡斯•D•艾斯" , "http://kg.course/talkop-vivre-card/5年前" , 从科尔博山的海岸出航 ,
 "多萝菲（Miss.圣诞快乐）" , "http://kg.course/talkop-vivre-card/2年前" , 和原巴洛克工作室的伙伴们一起开了新蜘蛛人咖啡店 ,
 "多萝菲（Miss.圣诞快乐）" , "http://kg.course/talkop-vivre-card/2年前" , 巴洛克工作室解散 ,
 "多萝菲（Miss.圣诞快乐）" , "http://kg.course/talkop-vivre-card/2年前" , "在Miss.黄金周等人的帮助下，从海军拘留所逃出" ,
 "多萝菲（Miss.圣诞快乐）" , "http://kg.course/talkop-vivre-card/？年前" , 成为巴洛克工作室高级特务 ,
 "贝布 (Mr.4) 和拉苏" , "http://kg.course/talkop-vivre-card/2年前" , "BW解散" ,
 "贝布 (Mr.4) 和拉苏" , "http://kg.course/talkop-vivre-card/2年前" , "和原BW的同伴开了新蜘蛛人咖啡厅" ,
 "贝布 (Mr.4) 和拉苏" , "http://kg.course/talkop-vivre-card/2年前" , "在Miss黄金周他们的帮助下逃出海军拘留所" ,
 "贝布 (Mr.4) 和拉苏" , "http://kg.course/talkop-vivre-card/？年前" , "成为BW高级特务" ,
 "贝布 (Mr.4) 和拉苏" , "http://kg.course/talkop-vivre-card/？年前" , 给枪吃了“恶魔果实”，拉苏诞生 ,
 "萨拉 （Miss. 双手指）" , "http://kg.course/talkop-vivre-card/2年前" , "BW解散" ,
 "萨拉 （Miss. 双手指）" , "http://kg.course/talkop-vivre-card/2年前" , 成为新蜘蛛人咖啡厅店主 ,
 "萨拉 （Miss. 双手指）" , "http://kg.course/talkop-vivre-card/2年前" , "被Miss黄金周他们救出海军拘留所" ,
 "萨拉 （Miss. 双手指）" , "http://kg.course/talkop-vivre-card/？年前" , "成为BW高级特务" ,
 "达兹·波尼斯 (Mr.1)" , "http://kg.course/talkop-vivre-card/2年前" , "BW解散" ,
 "达兹·波尼斯 (Mr.1)" , "http://kg.course/talkop-vivre-card/2年前" , 从因佩尔大监狱越狱，参战顶上战争 ,
 "达兹·波尼斯 (Mr.1)" , "http://kg.course/talkop-vivre-card/2年前" , 和克洛克达尔一起去往“新世界” ,
 "达兹·波尼斯 (Mr.1)" , "http://kg.course/talkop-vivre-card/？年前" , "成为BW高级特务" ,
 "达兹·波尼斯 (Mr.1)" , "http://kg.course/talkop-vivre-card/？年前" , 作为赏金猎人在“西海”出名 ,
 睫毛 , "http://kg.course/talkop-vivre-card/2年前" , 受到怪物的攻击，被路飞一伙救了 ,
 睫毛 , "http://kg.course/talkop-vivre-card/2年前" , 和路飞一起努力保护阿拉巴斯坦王国 ,
 睫毛 , "http://kg.course/talkop-vivre-card/2年前" , 志愿加入超级快跑鸭部队 ,
 睫毛 , "http://kg.course/talkop-vivre-card/？年前" , 加入超级快跑鸭部队 ,
 寇沙 , "http://kg.course/talkop-vivre-card/2年前" , 为结束阿拉巴斯坦王国的战争做出贡献 ,
 寇沙 , "http://kg.course/talkop-vivre-card/？年前" , 就任王国环境大臣 ,
 寇沙 , "http://kg.course/talkop-vivre-card/？年前" , 建立“砂砂团” ,
 寇沙 , "http://kg.course/talkop-vivre-card/4年前" , 建立反叛军 ,
 寇沙 , "http://kg.course/talkop-vivre-card/13年前" , 任命薇薇为“砂砂团”的副首领 ,
 寇沙 , "http://kg.course/talkop-vivre-card/13年前" , 和父亲去开拓犹巴 ,
 贝尔 , "http://kg.course/talkop-vivre-card/0年前" , 作为护卫参加“世界会议” ,
 贝尔 , "http://kg.course/talkop-vivre-card/2年前" , 去泡了糊涂温泉 ,
 贝尔 , "http://kg.course/talkop-vivre-card/2年前" , 奇迹般地保住性命 ,
 贝尔 , "http://kg.course/talkop-vivre-card/2年前" , 阻止了爆炸 ,
 贝尔 , "http://kg.course/talkop-vivre-card/？年前" , 加入阿拉巴斯坦王国护卫队 ,
 贝尔 , "http://kg.course/talkop-vivre-card/？年前" , 让薇薇坐在背上，飞舞于黄昏的天空 ,
 加卡 , "http://kg.course/talkop-vivre-card/0年前" , 作为护卫参加“世界会议” ,
 加卡 , "http://kg.course/talkop-vivre-card/2年前" , 去泡了糊涂温泉 ,
 加卡 , "http://kg.course/talkop-vivre-card/2年前" , 指挥国王军迎击叛乱军 ,
 加卡 , "http://kg.course/talkop-vivre-card/？年前" , 加入阿拉巴斯坦王国护卫队 ,
 加卡 , "http://kg.course/talkop-vivre-card/4年前" , 伊卡莱姆离队期间，作为队长代理而工作 ,
 加卡 , "http://kg.course/talkop-vivre-card/13年前" , 教导寇沙剑术 ,
 缇娜 , "http://kg.course/talkop-vivre-card/0年前" , 护送奈菲鲁塔莉家到达“世界会议” ,
 缇娜 , "http://kg.course/talkop-vivre-card/2年前" , 参战顶上战争 ,
 缇娜 , "http://kg.course/talkop-vivre-card/2年前" , "在休假岛抓获Mr. 2和Mr. 3" ,
 缇娜 , "http://kg.course/talkop-vivre-card/2年前" , 在阿拉巴斯坦追踪“草帽一伙” ,
 缇娜 , "http://kg.course/talkop-vivre-card/2年前" , 将赞高和芬布迪收为部下 ,
 缇娜 , "http://kg.course/talkop-vivre-card/？年前" , 升任为少将 ,
 缇娜 , "http://kg.course/talkop-vivre-card/？年前" , 参加海军 ,
 人猿 , "http://kg.course/talkop-vivre-card/0年前" , 开始探寻幻之岛“梦幻乡”的旅程 ,
 人猿 , "http://kg.course/talkop-vivre-card/2年前" , 把前进梅利号强化成飞行模式 ,
 人猿 , "http://kg.course/talkop-vivre-card/2年前" , 遇到路飞等人 ,
 人猿 , "http://kg.course/talkop-vivre-card/？年前" , 七、八年前拜访库利凯的居所 ,
 人猿 , "http://kg.course/talkop-vivre-card/？年前" , 成为「大话王诺兰度」的粉丝 ,
 贝拉米 , "http://kg.course/talkop-vivre-card/0年前" , 在德雷斯罗萨再度和路飞战斗，被击败 ,
 贝拉米 , "http://kg.course/talkop-vivre-card/0年前" , 海贼生涯歇业，走上染匠之路 ,
 贝拉米 , "http://kg.course/talkop-vivre-card/2年前" , 在魔谷镇遇到路飞，被击败 ,
 贝拉米 , "http://kg.course/talkop-vivre-card/？年前" , 加入多弗朗明戈旗下 ,
 贝拉米 , "http://kg.course/talkop-vivre-card/？年前" , 向空岛进发，失去伙伴 ,
 贝拉米 , "http://kg.course/talkop-vivre-card/？年前" , 成立贝拉米海贼团、前往伟大航路 ,
 贝拉米 , "http://kg.course/talkop-vivre-card/27年前" , 出生在“北海”诺提斯 ,
 萨奇斯 , "http://kg.course/talkop-vivre-card/2年前" , 受到多弗朗明戈的制裁 ,
 萨奇斯 , "http://kg.course/talkop-vivre-card/2年前" , 在魔谷镇败于路飞等人 ,
 萨奇斯 , "http://kg.course/talkop-vivre-card/？年前" , 加入多弗朗明哥旗下 ,
 萨奇斯 , "http://kg.course/talkop-vivre-card/？年前" , "成为悬赏3800万贝里的赏金犯" ,
 萨奇斯 , "http://kg.course/talkop-vivre-card/27年前" , 出生在“北海”诺提斯 ,
 猩猩 , "http://kg.course/talkop-vivre-card/0年前" , 开始探寻幻之岛“梦幻乡”的旅程 ,
 猩猩 , "http://kg.course/talkop-vivre-card/2年前" , 把前进梅利号强化成飞行模式 ,
 猩猩 , "http://kg.course/talkop-vivre-card/2年前" , 遇到路飞等人 ,
 猩猩 , "http://kg.course/talkop-vivre-card/？年前" , 七、八年前拜访库利凯的居所 ,
 猩猩 , "http://kg.course/talkop-vivre-card/？年前" , 成为「大话王诺兰度」的粉丝 ,
 蒙布朗·库利凯 , "http://kg.course/talkop-vivre-card/0年前" , 开始探寻幻之岛“梦幻乡”的旅程 ,
 蒙布朗·库利凯 , "http://kg.course/talkop-vivre-card/12年前" , 抵达加雅，开始深海探索 ,
 蒙布朗·库利凯 , "http://kg.course/talkop-vivre-card/2年前" , 听到了黄金钟的声响 ,
 蒙布朗·库利凯 , "http://kg.course/talkop-vivre-card/2年前" , 支援草帽一伙前往空岛 ,
 蒙布朗·库利凯 , "http://kg.course/talkop-vivre-card/？年前" , 人猿和猩猩不请自来 ,
 蒙布朗·库利凯 , "http://kg.course/talkop-vivre-card/？年前" , 作为海贼船的船长而出海 ,
 鹤 , "http://kg.course/talkop-vivre-card/0年前" , 击退袭击护送船的杰克 ,
 鹤 , "http://kg.course/talkop-vivre-card/0年前" , 负责护送多弗朗明戈 ,
 鹤 , "http://kg.course/talkop-vivre-card/2年前" , 参战顶上战争 ,
 鹤 , "http://kg.course/talkop-vivre-card/2年前" , 出席“王下七武海”的召集 ,
 鹤 , "http://kg.course/talkop-vivre-card/？年前" , 就任中将 ,
 鹤 , "http://kg.course/talkop-vivre-card/13年前" , 在飞燕岛参加对多弗朗明戈的抓捕作战 ,
 鹤 , "http://kg.course/talkop-vivre-card/56年前" , 和卡普、战国等人同时期加入海军 ,
 战国 , "http://kg.course/talkop-vivre-card/0年前" , 辞职海军元帅，就任大督察 ,
 战国 , "http://kg.course/talkop-vivre-card/2年前" , 在顶上战争公布艾斯的身世 ,
 战国 , "http://kg.course/talkop-vivre-card/2年前" , 推荐库赞接任元帅 ,
 战国 , "http://kg.course/talkop-vivre-card/22年前" , 向萨乌罗下达歼灭奥哈拉的任务 ,
 战国 , "http://kg.course/talkop-vivre-card/24年前" , 捕获西奇，将其投入因佩尔大监狱 ,
 战国 , "http://kg.course/talkop-vivre-card/27年前" , 出战艾特·沃尔海战 ,
 战国 , "http://kg.course/talkop-vivre-card/13年前" , 获悉柯拉松的死讯 ,
 战国 , "http://kg.course/talkop-vivre-card/31年前" , 与柯拉松相遇，将其养育成海军 ,
 唐吉诃德•多弗朗明哥 , "http://kg.course/talkop-vivre-card/0年前" , 与路飞、罗交战落败 ,
 唐吉诃德•多弗朗明哥 , "http://kg.course/talkop-vivre-card/？年前" , 威胁世界政府，加入王下七武海 ,
 唐吉诃德•多弗朗明哥 , "http://kg.course/talkop-vivre-card/？年前" , 结成堂吉诃德海贼团 ,
 唐吉诃德•多弗朗明哥 , "http://kg.course/talkop-vivre-card/10年前" , 就任德雷斯罗萨王国的国王 ,
 唐吉诃德•多弗朗明哥 , "http://kg.course/talkop-vivre-card/13年前" , 杀害弟弟罗西南德 ,
 唐吉诃德•多弗朗明哥 , "http://kg.course/talkop-vivre-card/31年前" , 成为线线果实的能力者，杀害父亲霍名古圣 ,
 唐吉诃德•多弗朗明哥 , "http://kg.course/talkop-vivre-card/33年前" , 父亲舍弃天龙人的地位移居到地面 ,
 唐吉诃德•多弗朗明哥 , "http://kg.course/talkop-vivre-card/41年前" , 作为天龙人在圣地玛丽乔亚出生 ,
 巴索罗缪•熊 , "http://kg.course/talkop-vivre-card/0年前" , 保住千里阳光号 ,
 巴索罗缪•熊 , "http://kg.course/talkop-vivre-card/0年前" , 成为天龙人的租赁奴隶 ,
 巴索罗缪•熊 , "http://kg.course/talkop-vivre-card/2年前" , 参与顶上战争 ,
 巴索罗缪•熊 , "http://kg.course/talkop-vivre-card/2年前" , 在香波地诸岛帮助草帽一伙逃跑 ,
 巴索罗缪•熊 , "http://kg.course/talkop-vivre-card/？年前" , 成为革命军干部 ,
 巴索罗缪•熊 , "http://kg.course/talkop-vivre-card/？年前" , 获得王下七武海的称号 ,
 巴索罗缪•熊 , "http://kg.course/talkop-vivre-card/？年前" , 被称为“暴君” ,
 拉菲特 , "http://kg.course/talkop-vivre-card/2年前" , 潜入玛丽乔亚的海军集会 ,
 拉菲特 , "http://kg.course/talkop-vivre-card/2年前" , 袭击因佩尔大监狱 ,
 拉菲特 , "http://kg.course/talkop-vivre-card/2年前" , 见证“巴纳罗岛的决斗” ,
 拉菲特 , "http://kg.course/talkop-vivre-card/2年前" , 闯入顶上战争，参与杀害“白胡子” ,
 拉菲特 , "http://kg.course/talkop-vivre-card/？年前" , 加入黑胡子海贼团 ,
 拉菲特 , "http://kg.course/talkop-vivre-card/？年前" , 因为超出限度的暴力而被“西海”的国家追捕 ,
 拉菲特 , "http://kg.course/talkop-vivre-card/？年前" , 成为黑胡子海贼团五号船的船长 ,
 爱德华•纽盖特 , "http://kg.course/talkop-vivre-card/2年前" , 参加顶上战争，战死 ,
 爱德华•纽盖特 , "http://kg.course/talkop-vivre-card/？年前" , 以“白胡子”的别名而为人所知 ,
 爱德华•纽盖特 , "http://kg.course/talkop-vivre-card/？年前" , 成为孤儿，少年时期即出海 ,
 爱德华•纽盖特 , "http://kg.course/talkop-vivre-card/？年前" , 成为某个海贼团的船员 ,
 爱德华•纽盖特 , "http://kg.course/talkop-vivre-card/？年前" , 成立白胡子海贼团 ,
 爱德华•纽盖特 , "http://kg.course/talkop-vivre-card/？年前" , 遭遇蒂奇背叛 ,
 爱德华•纽盖特 , "http://kg.course/talkop-vivre-card/74年前" , 在“伟大航路”的斯芬克斯出生 ,
 吉萨斯·巴杰斯 , "http://kg.course/talkop-vivre-card/0年前" , 在德雷斯罗萨的角斗场参战 ,
 吉萨斯·巴杰斯 , "http://kg.course/talkop-vivre-card/0年前" , 确认革命军本部方位、和同伴们一起袭击并破坏本部 ,
 吉萨斯·巴杰斯 , "http://kg.course/talkop-vivre-card/2年前" , 袭击因佩尔大监狱 ,
 吉萨斯·巴杰斯 , "http://kg.course/talkop-vivre-card/2年前" , 见证“巴纳罗岛的决斗” ,
 吉萨斯·巴杰斯 , "http://kg.course/talkop-vivre-card/2年前" , 闯入顶上战争，参与杀害“白胡子” ,
 吉萨斯·巴杰斯 , "http://kg.course/talkop-vivre-card/2年前" , 在加雅追踪向着空岛进发的路飞等人 ,
 吉萨斯·巴杰斯 , "http://kg.course/talkop-vivre-card/？年前" , 加入黑胡子海贼团 ,
 吉萨斯·巴杰斯 , "http://kg.course/talkop-vivre-card/？年前" , 成为黑胡子海贼团一号船的船长 ,
 范·奥卡 , "http://kg.course/talkop-vivre-card/2年前" , 袭击因佩尔大监狱 ,
 范·奥卡 , "http://kg.course/talkop-vivre-card/2年前" , 见证“巴纳罗岛的决斗” ,
 范·奥卡 , "http://kg.course/talkop-vivre-card/2年前" , 闯入顶上战争，参与杀害“白胡子” ,
 范·奥卡 , "http://kg.course/talkop-vivre-card/2年前" , 在加雅追踪向着空岛进发的路飞等人 ,
 范·奥卡 , "http://kg.course/talkop-vivre-card/？年前" , 加入黑胡子海贼团 ,
 范·奥卡 , "http://kg.course/talkop-vivre-card/？年前" , 成为黑胡子海贼团三号船的船长 ,
 "马歇尔·D·蒂奇" , "http://kg.course/talkop-vivre-card/2年前" , 乱入顶上战争，杀害“白胡子” ,
 "马歇尔·D·蒂奇" , "http://kg.course/talkop-vivre-card/2年前" , 在加亚岛遇到路飞 ,
 "马歇尔·D·蒂奇" , "http://kg.course/talkop-vivre-card/2年前" , 在巴那罗岛抓到艾斯，成为“王下七武海” ,
 "马歇尔·D·蒂奇" , "http://kg.course/talkop-vivre-card/2年前" , 袭击推进城，让希流等人成为同伙 ,
 "马歇尔·D·蒂奇" , "http://kg.course/talkop-vivre-card/？年前" , 杀害萨奇，夺走暗暗果实后逃走 ,
 "马歇尔·D·蒂奇" , "http://kg.course/talkop-vivre-card/？年前" , 结成黑胡子海贼团 ,
 "马歇尔·D·蒂奇" , "http://kg.course/talkop-vivre-card/1年前" , 在了结战争中与白胡子海贼团残党战斗取胜 ,
 "马歇尔·D·蒂奇" , "http://kg.course/talkop-vivre-card/1年前" , 成为四皇 ,
 "毒Q" , "http://kg.course/talkop-vivre-card/2年前" , 乱入顶上战争，参加杀害“白胡子” ,
 "毒Q" , "http://kg.course/talkop-vivre-card/2年前" , 在加亚岛追击路飞 ,
 "毒Q" , "http://kg.course/talkop-vivre-card/2年前" , 旁观“巴那罗岛的决斗” ,
 "毒Q" , "http://kg.course/talkop-vivre-card/2年前" , 袭击推进城 ,
 "毒Q" , "http://kg.course/talkop-vivre-card/？年前" , 加入黑胡子海贼团 ,
 "毒Q" , "http://kg.course/talkop-vivre-card/？年前" , 成为黑胡子海贼团九号船船长 ,
 甘·福尔 , "http://kg.course/talkop-vivre-card/2年前" , 从瓦夷帕的攻击中救下路飞等人 ,
 甘·福尔 , "http://kg.course/talkop-vivre-card/2年前" , 重新登上神位 ,
 甘·福尔 , "http://kg.course/talkop-vivre-card/？年前" , 和罗杰成为好友 ,
 甘·福尔 , "http://kg.course/talkop-vivre-card/？年前" , 和香迪亚的谈判决裂 ,
 甘·福尔 , "http://kg.course/talkop-vivre-card/？年前" , 被任命为神 ,
 甘·福尔 , "http://kg.course/talkop-vivre-card/8年前" , 作为“空中骑士”，开始佣兵生涯 ,
 甘·福尔 , "http://kg.course/talkop-vivre-card/8年前" , 被艾尼路袭击，跌落神位 ,
 亚马逊 , "http://kg.course/talkop-vivre-card/0年前" , 成为橡皮圈游乐园的售票员 ,
 亚马逊 , "http://kg.course/talkop-vivre-card/2年前" , 天使岛灭亡 ,
 亚马逊 , "http://kg.course/talkop-vivre-card/？年前" , 成为空岛“天国之门”的监视官 ,
 亚马逊 , "http://kg.course/talkop-vivre-card/8年前" , 艾尼路占领空岛 ,
 柯妮丝 , "http://kg.course/talkop-vivre-card/0年前" , 和兰琪一起开办南瓜咖啡厅 ,
 柯妮丝 , "http://kg.course/talkop-vivre-card/2年前" , 和“草帽一伙”相遇 ,
 柯妮丝 , "http://kg.course/talkop-vivre-card/2年前" , 天使岛灭亡 ,
 柯妮丝 , "http://kg.course/talkop-vivre-card/2年前" , 艾尼路逃往月球，空岛解放 ,
 柯妮丝 , "http://kg.course/talkop-vivre-card/8年前" , 艾尼路占领空岛 ,
 派葛亚 , "http://kg.course/talkop-vivre-card/2年前" , 和“草帽一伙”相遇 ,
 派葛亚 , "http://kg.course/talkop-vivre-card/2年前" , 天使岛灭亡 ,
 派葛亚 , "http://kg.course/talkop-vivre-card/8年前" , 艾尼路占领空岛 ,
 莎德利 , "http://kg.course/talkop-vivre-card/2年前" , 接受“流云之刑” ,
 莎德利 , "http://kg.course/talkop-vivre-card/2年前" , 被草帽一伙打败 ,
 莎德利 , "http://kg.course/talkop-vivre-card/？年前" , 成为艾尼路的部下 ,
 莎德利 , "http://kg.course/talkop-vivre-card/8年前" , "和艾尼路一起袭击Skypea" ,
 修罗 , "http://kg.course/talkop-vivre-card/2年前" , 接受“流云之刑” ,
 修罗 , "http://kg.course/talkop-vivre-card/2年前" , 败于韦柏，在“神之岛”生存战中战败 ,
 修罗 , "http://kg.course/talkop-vivre-card/？年前" , 成为艾尼路的部下 ,
 修罗 , "http://kg.course/talkop-vivre-card/8年前" , "和艾尼路一起袭击Skypea" ,
 爱莎 , "http://kg.course/talkop-vivre-card/0年前" , 成为诺拉蹦极的球云配送员 ,
 爱莎 , "http://kg.course/talkop-vivre-card/2年前" , 在“神之岛”生存战中与路飞共同行动 ,
 爱莎 , "http://kg.course/talkop-vivre-card/9年前" , "出生于山迪亚的村庄（这里的Before09和下面的Before09应该改成Before11，官方可能出错了）" ,
 爱莎 , "http://kg.course/talkop-vivre-card/9年前" , "出生同时“心网”觉醒（这里的Before09和下面的Before09应该改成Before11，官方可能出错了）" ,
 卡马奇力 , "http://kg.course/talkop-vivre-card/0年前" , 加入神之护卫队 ,
 卡马奇力 , "http://kg.course/talkop-vivre-card/2年前" , 参加“神之岛”生存战 ,
 卡马奇力 , "http://kg.course/talkop-vivre-card/2年前" , 和葛达茨•欧姆•修罗交战负伤 ,
 卡马奇力 , "http://kg.course/talkop-vivre-card/2年前" , 败于艾尼路 ,
 卡马奇力 , "http://kg.course/talkop-vivre-card/？年前" , 和甘•福尔交涉决裂 ,
 卡马奇力 , "http://kg.course/talkop-vivre-card/8年前" , "艾尼路征服Skypea" ,
 韦帕 , "http://kg.course/talkop-vivre-card/0年前" , 加入神之护卫队 ,
 韦帕 , "http://kg.course/talkop-vivre-card/2年前" , 参加“神之岛”生存战 ,
 韦帕 , "http://kg.course/talkop-vivre-card/2年前" , 击破神官修罗 ,
 韦帕 , "http://kg.course/talkop-vivre-card/2年前" , 支援路飞打败艾尼路 ,
 韦帕 , "http://kg.course/talkop-vivre-card/？年前" , 和甘•福尔交涉决裂 ,
 韦帕 , "http://kg.course/talkop-vivre-card/？年前" , 知道卡尔加拉的过去 ,
 韦帕 , "http://kg.course/talkop-vivre-card/8年前" , "艾尼路征服Skypea" ,
 捷宝 , "http://kg.course/talkop-vivre-card/0年前" , 加入神之护卫队 ,
 捷宝 , "http://kg.course/talkop-vivre-card/2年前" , 参加“神之岛”生存战 ,
 捷宝 , "http://kg.course/talkop-vivre-card/2年前" , 败于神兵长雅玛 ,
 捷宝 , "http://kg.course/talkop-vivre-card/？年前" , 和甘•福尔交涉决裂 ,
 捷宝 , "http://kg.course/talkop-vivre-card/？年前" , 从青海人手中得到大炮和铁炮弹 ,
 捷宝 , "http://kg.course/talkop-vivre-card/8年前" , "艾尼路征服Skypea" ,
 布拉哈姆 , "http://kg.course/talkop-vivre-card/0年前" , 加入神之护卫队 ,
 布拉哈姆 , "http://kg.course/talkop-vivre-card/2年前" , 参加“神之岛”生存战 ,
 布拉哈姆 , "http://kg.course/talkop-vivre-card/2年前" , 败于索隆 ,
 布拉哈姆 , "http://kg.course/talkop-vivre-card/？年前" , 和甘•福尔交涉决裂 ,
 布拉哈姆 , "http://kg.course/talkop-vivre-card/8年前" , "艾尼路征服Skypea" ,
 拉琪 , "http://kg.course/talkop-vivre-card/0年前" , 和柯妮斯一起在南瓜咖啡店工作 ,
 拉琪 , "http://kg.course/talkop-vivre-card/2年前" , 参加“神之岛”生存战 ,
 拉琪 , "http://kg.course/talkop-vivre-card/22年前" , 出生于山迪亚，被当作战士培养 ,
 欧姆 , "http://kg.course/talkop-vivre-card/2年前" , 受到“云流放”之刑 ,
 欧姆 , "http://kg.course/talkop-vivre-card/2年前" , 在“神域岛”上的淘汰战中被索隆打败 ,
 欧姆 , "http://kg.course/talkop-vivre-card/？年前" , 成为艾尼路的部下 ,
 欧姆 , "http://kg.course/talkop-vivre-card/8年前" , "和艾尼路他们一起袭击Skypea" ,
 葛达茨 , "http://kg.course/talkop-vivre-card/2年前" , 和五郎一起挖出了温泉 ,
 葛达茨 , "http://kg.course/talkop-vivre-card/2年前" , 在“神域岛”上的淘汰战中被乔巴打败 ,
 葛达茨 , "http://kg.course/talkop-vivre-card/2年前" , 成为了“大意温泉”的堂主 ,
 葛达茨 , "http://kg.course/talkop-vivre-card/2年前" , 掉到“青海”，遇到了挖洞人五郎 ,
